epoch,train_loss,val_loss,train_acc,val_acc,learning_rate
1,1.6615774031908275,1.4441409150874347,0.25,0.3333333333333333,0.01
2,1.3584759889478142,1.297506630327668,0.5961538461538461,0.3333333333333333,0.01
3,1.197106495857135,1.1619520464893882,0.6346153846153846,0.5,0.01
4,1.0628435401513316,1.0895270905764667,0.6923076923076923,0.5,0.01
5,0.9476388863051821,1.0512963671333644,0.7115384615384616,0.5,0.01
